timestamp,gpu,host_bus,current_speed_gtps,current_width,phase
1788662269.092374638,gt1030,02:00.0,2.5,4,idle
1788662269.092374638,gtx1050,07:00.0,8.0,4,idle
1788662269.598465658,gt1030,02:00.0,2.5,4,idle
1788662269.598465658,gtx1050,07:00.0,8.0,4,idle
1788662270.105461240,gt1030,02:00.0,2.5,4,idle
1788662270.105461240,gtx1050,07:00.0,8.0,4,idle
1788662270.611443838,gt1030,02:00.0,2.5,4,idle
1788662270.611443838,gtx1050,07:00.0,8.0,4,idle
1788662271.117642298,gt1030,02:00.0,2.5,4,idle
1788662271.117642298,gtx1050,07:00.0,8.0,4,idle
1788662271.624178504,gt1030,02:00.0,2.5,4,idle
1788662271.624178504,gtx1050,07:00.0,8.0,4,idle
1788662272.130253606,gt1030,02:00.0,2.5,4,idle
1788662272.130253606,gtx1050,07:00.0,8.0,4,idle
1788662272.636397148,gt1030,02:00.0,2.5,4,idle
1788662272.636397148,gtx1050,07:00.0,8.0,4,idle
1788662273.142266531,gt1030,02:00.0,2.5,4,idle
1788662273.142266531,gtx1050,07:00.0,8.0,4,idle
1788662273.648319483,gt1030,02:00.0,2.5,4,idle
1788662273.648319483,gtx1050,07:00.0,8.0,4,idle
1788662274.154387830,gt1030,02:00.0,2.5,4,idle
1788662274.154387830,gtx1050,07:00.0,8.0,4,idle
1788662274.660506144,gt1030,02:00.0,2.5,4,idle
1788662274.660506144,gtx1050,07:00.0,8.0,4,idle
1788662275.166584827,gt1030,02:00.0,2.5,4,idle
1788662275.166584827,gtx1050,07:00.0,8.0,4,idle
1788662275.672650454,gt1030,02:00.0,2.5,4,idle
1788662275.672650454,gtx1050,07:00.0,8.0,4,idle
1788662276.178898521,gt1030,02:00.0,2.5,4,idle
1788662276.178898521,gtx1050,07:00.0,8.0,4,idle
1788662276.685274086,gt1030,02:00.0,2.5,4,idle
1788662276.685274086,gtx1050,07:00.0,8.0,4,idle
1788662277.191213438,gt1030,02:00.0,2.5,4,idle
1788662277.191213438,gtx1050,07:00.0,8.0,4,idle
1788662277.697370605,gt1030,02:00.0,2.5,4,idle
1788662277.697370605,gtx1050,07:00.0,8.0,4,idle
1788662278.203347786,gt1030,02:00.0,2.5,4,idle
1788662278.203347786,gtx1050,07:00.0,8.0,4,idle
1788662278.709475550,gt1030,02:00.0,2.5,4,idle
1788662278.709475550,gtx1050,07:00.0,8.0,4,idle
1788662279.215683736,gt1030,02:00.0,2.5,4,idle
1788662279.215683736,gtx1050,07:00.0,8.0,4,idle
1788662279.722007543,gt1030,02:00.0,2.5,4,idle
1788662279.722007543,gtx1050,07:00.0,8.0,4,idle
1788662280.228342597,gt1030,02:00.0,2.5,4,idle
1788662280.228342597,gtx1050,07:00.0,8.0,4,idle
1788662280.734420980,gt1030,02:00.0,2.5,4,idle
1788662280.734420980,gtx1050,07:00.0,8.0,4,idle
1788662281.240438771,gt1030,02:00.0,2.5,4,idle
1788662281.240438771,gtx1050,07:00.0,8.0,4,idle
1788662281.746297200,gt1030,02:00.0,2.5,4,idle
1788662281.746297200,gtx1050,07:00.0,8.0,4,idle
1788662282.252485497,gt1030,02:00.0,2.5,4,idle
1788662282.252485497,gtx1050,07:00.0,8.0,4,idle
1788662282.758734495,gt1030,02:00.0,2.5,4,idle
1788662282.758734495,gtx1050,07:00.0,8.0,4,idle
1788662283.265020753,gt1030,02:00.0,2.5,4,idle
1788662283.265020753,gtx1050,07:00.0,8.0,4,idle
1788662283.771454782,gt1030,02:00.0,2.5,4,idle
1788662283.771454782,gtx1050,07:00.0,8.0,4,idle
1788662284.277529066,gt1030,02:00.0,2.5,4,idle
1788662284.277529066,gtx1050,07:00.0,8.0,4,idle
1788662284.783686840,gt1030,02:00.0,2.5,4,idle
1788662284.783686840,gtx1050,07:00.0,8.0,4,idle
1788662285.289754245,gt1030,02:00.0,2.5,4,idle
1788662285.289754245,gtx1050,07:00.0,8.0,4,idle
1788662285.795749494,gt1030,02:00.0,2.5,4,idle
1788662285.795749494,gtx1050,07:00.0,8.0,4,idle
1788662286.302025864,gt1030,02:00.0,2.5,4,idle
1788662286.302025864,gtx1050,07:00.0,8.0,4,idle
1788662286.808351606,gt1030,02:00.0,2.5,4,idle
1788662286.808351606,gtx1050,07:00.0,8.0,4,idle
1788662287.314347807,gt1030,02:00.0,2.5,4,idle
1788662287.314347807,gtx1050,07:00.0,8.0,4,idle
1788662287.820561566,gt1030,02:00.0,2.5,4,idle
1788662287.820561566,gtx1050,07:00.0,8.0,4,idle
1788662288.326583814,gt1030,02:00.0,2.5,4,idle
1788662288.326583814,gtx1050,07:00.0,8.0,4,idle
1788662288.832706432,gt1030,02:00.0,2.5,4,idle
1788662288.832706432,gtx1050,07:00.0,8.0,4,idle
1788662289.339108707,gt1030,02:00.0,2.5,4,idle
1788662289.339108707,gtx1050,07:00.0,8.0,4,idle
1788662289.845565830,gt1030,02:00.0,2.5,4,idle
1788662289.845565830,gtx1050,07:00.0,8.0,4,idle
1788662290.351695883,gt1030,02:00.0,2.5,4,idle
1788662290.351695883,gtx1050,07:00.0,8.0,4,idle
1788662290.857990265,gt1030,02:00.0,2.5,4,idle
1788662290.857990265,gtx1050,07:00.0,8.0,4,idle
1788662291.365006415,gt1030,02:00.0,2.5,4,idle
1788662291.365006415,gtx1050,07:00.0,8.0,4,idle
1788662291.871575764,gt1030,02:00.0,2.5,4,idle
1788662291.871575764,gtx1050,07:00.0,8.0,4,idle
1788662292.377913115,gt1030,02:00.0,2.5,4,idle
1788662292.377913115,gtx1050,07:00.0,8.0,4,idle
1788662292.884351709,gt1030,02:00.0,2.5,4,idle
1788662292.884351709,gtx1050,07:00.0,8.0,4,idle
1788662293.390640531,gt1030,02:00.0,2.5,4,idle
1788662293.390640531,gtx1050,07:00.0,8.0,4,idle
1788662293.896805287,gt1030,02:00.0,2.5,4,idle
1788662293.896805287,gtx1050,07:00.0,8.0,4,idle
1788662294.403506721,gt1030,02:00.0,2.5,4,idle
1788662294.403506721,gtx1050,07:00.0,8.0,4,idle
1788662294.909654924,gt1030,02:00.0,2.5,4,idle
1788662294.909654924,gtx1050,07:00.0,8.0,4,idle
1788662295.415734476,gt1030,02:00.0,2.5,4,idle
1788662295.415734476,gtx1050,07:00.0,8.0,4,idle
1788662295.922499116,gt1030,02:00.0,2.5,4,idle
1788662295.922499116,gtx1050,07:00.0,5.0,4,idle
1788662296.428543288,gt1030,02:00.0,2.5,4,idle
1788662296.428543288,gtx1050,07:00.0,5.0,4,idle
1788662296.935285453,gt1030,02:00.0,2.5,4,idle
1788662296.935285453,gtx1050,07:00.0,5.0,4,idle
1788662297.441710364,gt1030,02:00.0,2.5,4,idle
1788662297.441710364,gtx1050,07:00.0,5.0,4,idle
1788662297.948483438,gt1030,02:00.0,2.5,4,idle
1788662297.948483438,gtx1050,07:00.0,5.0,4,idle
1788662298.455354910,gt1030,02:00.0,2.5,4,idle
1788662298.455354910,gtx1050,07:00.0,2.5,4,idle
1788662298.961589238,gt1030,02:00.0,2.5,4,idle
1788662298.961589238,gtx1050,07:00.0,2.5,4,idle
1788662299.467864662,gt1030,02:00.0,2.5,4,idle
1788662299.467864662,gtx1050,07:00.0,2.5,4,idle
1788662299.974330320,gt1030,02:00.0,2.5,4,idle
1788662299.974330320,gtx1050,07:00.0,2.5,4,idle
1788662300.480561611,gt1030,02:00.0,2.5,4,idle
1788662300.480561611,gtx1050,07:00.0,2.5,4,idle
1788662300.987371986,gt1030,02:00.0,2.5,4,idle
1788662300.987371986,gtx1050,07:00.0,2.5,4,idle
