target_ctx,actual_ctx,pp_toks,tg_toks,pp_ms,tg_ms,wall_s
64,10,67.09,59.17,149.057,118.306,0.28
2000,1593,758.73,61.81,2099.55,129.432,2.24
4000,3413,791.21,63.93,4313.666,125.139,4.45
8000,7053,792.59,61.5,8898.64,130.087,9.05
16000,14323,791.67,58.84,18092.131,135.964,18.27
32000,28863,759.95,52.79,37980.145,151.532,38.2
64000,57953,694.37,43.95,83461.848,182.034,83.77
96000,87053,638.08,37.38,136429.613,214.029,136.84
128000,116143,593.88,32.88,195565.631,243.292,196.06
