context,pp_toks,tg_toks,pp_ms,tg_ms,cpu_pct,ram_mb
10,55.05,50.22,181.641,139.386,0,0
2013,1186.66,41.77,1696.356,191.526,0,0
4013,1327.94,41.97,3021.975,190.615,0,0
8013,1337.15,41.04,5992.601,194.92,0,0
16013,1307.18,39.77,12250.047,201.169,0,0
32013,1237.9,37.5,25860.794,213.325,0,0
