context,pp_toks,tg_toks,pp_ms,tg_ms,cpu_pct,ram_mb
10,67.28,13.53,148.622,9457.504,0,0
3213,447.1,13.27,7186.318,9643.71,0,0
6413,445.84,13.04,14384.014,9816.746,0,0
9613,439.87,12.85,21854.37,9959.054,0,0
12813,433.06,12.59,29587.079,10163.472,0,0
19213,420.83,12.22,45655.359,10474.181,0,0
24013,411.77,11.93,58316.419,10732.667,0,0
32013,395.95,11.47,80850.423,11155.772,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
