target_ctx,actual_ctx,pp_toks,tg_toks,pp_ms,tg_ms,wall_s
64,10,62.67,44.14,159.568,158.596,0.33
2000,1593,1157.8,38.59,1375.885,207.307,1.6
4000,3413,1295.99,38.49,2633.505,207.846,2.86
8000,7053,1317.17,37.94,5354.681,210.856,5.59
16000,14323,1307.02,36.78,10958.48,217.516,11.22
32000,28863,1237.28,46.39,23327.724,172.438,23.57
